[Warning] 'tarty1' font is not printable in this environment.

[INFO] Loaded wordlist file with 1829 words.
[INFO] Beginning enumeration...
200    Dict     321l   13247c   http://192.168.56.101:81/
200    Service  0l     0c       http://192.168.56.101:81/includes/utf/data/search_indexer_84.php
200    Service  0l     0c       http://192.168.56.101:81/includes/utf/data/case_fold_f.php
200    Service  0l     0c       http://192.168.56.101:81/includes/utf/data/search_indexer_4.php
200    Service  0l     0c       http://192.168.56.101:81/includes/utf/data/search_indexer_95.php
200    Service  0l     0c       http://192.168.56.101:81/includes/utf/data/confusables.php
200    Service  0l     0c       http://192.168.56.101:81/includes/utf/data/search_indexer_448.php
200    Service  0l     0c       http://192.168.56.101:81/includes/utf/data/search_indexer_5.php
200    Service  0l     0c       http://192.168.56.101:81/includes/utf/data/search_indexer_1.php
200    Service  0l     0c       http://192.168.56.101:81/includes/utf/data/search_indexer_58.php
200    Service  0l     0c       http://192.168.56.101:81/includes/utf/data/search_indexer_6.php
200    Service  0l     0c       http://192.168.56.101:81/includes/utf/data/search_indexer_9.php
200    Service  0l     0c       http://192.168.56.101:81/includes/utf/data/search_indexer_3.php
200    Service  0l     0c       http://192.168.56.101:81/includes/utf/data/search_indexer_26.php
200    Service  0l     0c       http://192.168.56.101:81/includes/utf/data/search_indexer_36.php
200    Service  0l     0c       http://192.168.56.101:81/includes/utf/data/search_indexer_2.php
200    Service  0l     0c       http://192.168.56.101:81/includes/utf/data/recode_basic.php
200    Service  0l     0c       http://192.168.56.101:81/includes/utf/data/search_indexer_33.php
200    Service  0l     0c       http://192.168.56.101:81/includes/utf/data/search_indexer_21.php
200    Service  0l     0c       http://192.168.56.101:81/includes/ucp/info/ucp_auth_link.php
200    Service  0l     0c       http://192.168.56.101:81/includes/utf/data/recode_cjk.php
200    Service  0l     0c       http://192.168.56.101:81/includes/utf/data/search_indexer_0.php
200    Service  0l     0c       http://192.168.56.101:81/includes/utf/data/case_fold_s.php
200    Service  0l     0c       http://192.168.56.101:81/includes/ucp/info/ucp_prefs.php
200    Service  0l     0c       http://192.168.56.101:81/includes/ucp/ucp_pm.php
200    Service  0l     0c       http://192.168.56.101:81/includes/ucp/info/ucp_notifications.php
200    Service  0l     0c       http://192.168.56.101:81/includes/ucp/info/ucp_groups.php
200    Service  0l     0c       http://192.168.56.101:81/includes/functions_posting.php
200    Service  0l     0c       http://192.168.56.101:81/includes/ucp/info/ucp_zebra.php
200    Service  0l     0c       http://192.168.56.101:81/includes/ucp/info/ucp_profile.php
200    Service  0l     0c       http://192.168.56.101:81/includes/ucp/info/ucp_main.php
200    Service  0l     0c       http://192.168.56.101:81/includes/utf/data/search_indexer_64.php
200    Service  0l     0c       http://192.168.56.101:81/includes/ucp/ucp_attachments.php
200    Service  0l     0c       http://192.168.56.101:81/includes/utf/data/search_indexer_31.php
200    Service  0l     0c       http://192.168.56.101:81/includes/ucp/ucp_resend.php
200    Service  0l     0c       http://192.168.56.101:81/includes/ucp/info/ucp_attachments.php
200    Service  0l     0c       http://192.168.56.101:81/includes/ucp/info/ucp_pm.php
200    Service  0l     0c       http://192.168.56.101:81/includes/sphinxapi.php
200    Service  0l     0c       http://192.168.56.101:81/includes/ucp/ucp_groups.php
200    Service  0l     0c       http://192.168.56.101:81/includes/ucp/ucp_pm_compose.php
200    Service  0l     0c       http://192.168.56.101:81/includes/utf/data/search_indexer_19.php
200    Service  0l     0c       http://192.168.56.101:81/includes/ucp/ucp_zebra.php
200    Service  0l     0c       http://192.168.56.101:81/includes/ucp/ucp_auth_link.php
200    Service  0l     0c       http://192.168.56.101:81/includes/ucp/ucp_pm_viewfolder.php
200    Service  0l     0c       http://192.168.56.101:81/includes/ucp/ucp_profile.php
200    Service  0l     0c       http://192.168.56.101:81/includes/ucp/ucp_confirm.php
200    Service  0l     0c       http://192.168.56.101:81/includes/ucp/ucp_notifications.php
200    Service  0l     0c       http://192.168.56.101:81/includes/ucp/ucp_main.php
200    Service  0l     0c       http://192.168.56.101:81/includes/functions_messenger.php
200    Service  0l     0c       http://192.168.56.101:81/includes/ucp/ucp_register.php
200    Service  0l     0c       http://192.168.56.101:81/includes/ucp/ucp_prefs.php
200    Service  0l     0c       http://192.168.56.101:81/includes/bbcode.php
200    Service  0l     0c       http://192.168.56.101:81/includes/ucp/ucp_login_link.php
200    Service  0l     0c       http://192.168.56.101:81/includes/ucp/ucp_activate.php
200    Service  0l     0c       http://192.168.56.101:81/includes/diff/diff.php
200    Service  0l     0c       http://192.168.56.101:81/install_backup/convert/convert.php
200    Service  0l     0c       http://192.168.56.101:81/includes/ucp/ucp_pm_options.php
200    Service  0l     0c       http://192.168.56.101:81/includes/ucp/ucp_pm_viewmessage.php
200    Service  0l     0c       http://192.168.56.101:81/includes/functions_admin.php
200    Service  0l     0c       http://192.168.56.101:81/includes/message_parser.php
200    Service  0l     0c       http://192.168.56.101:81/install_backup/convert/controller/convertor.php
200    Service  0l     0c       http://192.168.56.101:81/includes/compatibility_globals.php
200    Service  0l     0c       http://192.168.56.101:81/includes/diff/engine.php
200    Service  0l     0c       http://192.168.56.101:81/install_backup/convert/convertor.php
200    Service  0l     0c       http://192.168.56.101:81/includes/hooks/index.php
200    Service  0l     0c       http://192.168.56.101:81/includes/functions_compatibility.php
200    Service  0l     0c       http://192.168.56.101:81/includes/diff/renderer.php
200    Service  0l     0c       http://192.168.56.101:81/includes/questionnaire/questionnaire.php
200    Link     10l    169c     http://192.168.56.101:81/images/
200    Service  0l     0c       http://192.168.56.101:81/install_backup/convertors/convert_phpbb20.php
200    Service  0l     0c       http://192.168.56.101:81/install_backup/convertors/functions_phpbb20.php
500    Service  0l     0c       http://192.168.56.101:81/install_backup/app.php
200    Service  0l     0c       http://192.168.56.101:81/install_backup/startup.php
200    Service  0l     0c       http://192.168.56.101:81/includes/functions_download.php
200    Service  1001l  85361c   http://192.168.56.101:81/install_backup/phpinfo.php
301    Dict     9l     320c     http://192.168.56.101:81/assets
200    Dict     69l    1813c    http://192.168.56.101:81/web.config
200    Link     20l    1731c    http://192.168.56.101:81/assets/
200    Index    20l    1778c    http://192.168.56.101:81/assets/javascript/
200    Index    21l    2119c    http://192.168.56.101:81/assets/fonts/
200    Index    17l    1216c    http://192.168.56.101:81/assets/cookieconsent/
200    Index    16l    976c     http://192.168.56.101:81/assets/css/
200    Src      0l     216c     http://192.168.56.101:81/icons/back.gif
[INFO] Sent 1000 requests.
200    Src      0l     225c     http://192.168.56.101:81/icons/folder.gif
200    Index    16l    986c     http://192.168.56.101:81/assets/plupload/
200    Src      0l     148c     http://192.168.56.101:81/icons/blank.gif
301    Dict     9l     319c     http://192.168.56.101:81/files
200    Index    615l   15479c   http://192.168.56.101:81/assets/javascript/installer.js
200    Index    418l   11273c   http://192.168.56.101:81/assets/javascript/editor.js
200    Index    714l   21423c   http://192.168.56.101:81/assets/javascript/plupload.js
200    Src      1l     229c     http://192.168.56.101:81/icons/text.gif
200    Index    1863l  50334c   http://192.168.56.101:81/assets/javascript/core.js
200    Index    287l   77160c   http://192.168.56.101:81/assets/fonts/fontawesome-webfont.woff2
200    Src      1l     245c     http://192.168.56.101:81/icons/unknown.gif
200    Index    391l   98024c   http://192.168.56.101:81/assets/fonts/fontawesome-webfont.woff
200    Index    1451l  165548c  http://192.168.56.101:81/assets/fonts/fontawesome-webfont.ttf
[INFO] Sent 2000 requests.
200    Index    2l     87533c   http://192.168.56.101:81/assets/javascript/jquery-3.7.1.min.js
200    Src      4l     1043c    http://192.168.56.101:81/icons/odf6otf-20x22.png
200    Src      1l     309c     http://192.168.56.101:81/icons/image2.gif
200    Index    0l     20693c   http://192.168.56.101:81/assets/cookieconsent/cookieconsent.min.js
200    Index    5l     4958c    http://192.168.56.101:81/assets/cookieconsent/cookieconsent.min.css
200    Index    1451l  165742c  http://192.168.56.101:81/assets/fonts/fontawesome-webfont.eot
200    Index    2573l  134808c  http://192.168.56.101:81/assets/fonts/FontAwesome.otf
200    Index    2671l  444379c  http://192.168.56.101:81/assets/fonts/fontawesome-webfont.svg
301    Dict     9l     322c     http://192.168.56.101:81/includes
200    Dict     83l    2256c    http://192.168.56.101:81/composer.json
301    Dict     9l     319c     http://192.168.56.101:81/cache
301    Dict     9l     320c     http://192.168.56.101:81/vendor
301    Dict     9l     320c     http://192.168.56.101:81/config
200    Dict     0l     0c       http://192.168.56.101:81/config.php
200    Dict     5110l  187145c  http://192.168.56.101:81/composer.lock
301    Dict     9l     320c     http://192.168.56.101:81/styles
301    Dict     9l     318c     http://192.168.56.101:81/docs
200    Dict     0l     0c       http://192.168.56.101:81/common.php
301    Dict     9l     322c     http://192.168.56.101:81/download
200    Dict     305l   11733c   http://192.168.56.101:81/search.php
301    Dict     9l     317c     http://192.168.56.101:81/bin
301    Dict     9l     324c     http://192.168.56.101:81/javascript
301    Dict     9l     322c     http://192.168.56.101:81/language
[INFO] Sent 3000 requests.
400    Dict     0l     68c      http://192.168.56.101:81/cron.php
301    Dict     9l     319c     http://192.168.56.101:81/store
301    Dict     11l    314c     http://192.168.56.101:81/faq.php
301    Dict     11l    298c     http://192.168.56.101:81/feed.php
200    Link     10l    169c     http://192.168.56.101:81/files/
200    Index    28l    125587c  http://192.168.56.101:81/assets/plupload/plupload.full.min.js
200    Link     10l    169c     http://192.168.56.101:81/cache/
200    Link     10l    169c     http://192.168.56.101:81/includes/
200    Link     29l    3504c    http://192.168.56.101:81/vendor/
[ERROR] Encountered MissingSchema getting /app.php/help/faq with message: Invalid URL '/app.php/help/faq': No scheme supplied. Perhaps you meant http:///app.php/help/faq?
[ERROR] Encountered MissingSchema getting /app.php/feed with message: Invalid URL '/app.php/feed': No scheme supplied. Perhaps you meant http:///app.php/feed?
200    Link     406l   24514c   http://192.168.56.101:81/docs/
200    Link     17l    1131c    http://192.168.56.101:81/styles/
200    Link     18l    1341c    http://192.168.56.101:81/config/
403    Link     9l     279c     http://192.168.56.101:81/javascript/
200    Link     10l    169c     http://192.168.56.101:81/download/
200    Link     16l    942c     http://192.168.56.101:81/bin/
200    Link     10l    169c     http://192.168.56.101:81/language/
[INFO] Sent 4000 requests.
[INFO] Sent 5000 requests.
[INFO] Sent 6000 requests.
[INFO] Sent 7000 requests.
301    Dict     11l    334c     http://192.168.56.101:81/report.php
301    Dict     9l     317c     http://192.168.56.101:81/adm
[ERROR] Encountered MissingSchema getting /app.php/post/0/report with message: Invalid URL '/app.php/post/0/report': No scheme supplied. Perhaps you meant http:///app.php/post/0/report?
301    Dict     9l     317c     http://192.168.56.101:81/ext
200    Link     10l    169c     http://192.168.56.101:81/store/
200    Index    16l    978c     http://192.168.56.101:81/vendor/ralouphie/
200    Index    16l    950c     http://192.168.56.101:81/vendor/twig/
200    Index    27l    3365c    http://192.168.56.101:81/vendor/composer/
200    Index    16l    980c     http://192.168.56.101:81/vendor/marc1706/
200    Index    16l    964c     http://192.168.56.101:81/vendor/google/
200    Index    18l    1354c    http://192.168.56.101:81/vendor/guzzlehttp/
200    Index    0l     0c       http://192.168.56.101:81/vendor/autoload.php
200    Index    16l    974c     http://192.168.56.101:81/vendor/bantu/
200    Index    18l    1352c    http://192.168.56.101:81/vendor/psr/
200    Index    34l    4686c    http://192.168.56.101:81/vendor/symfony/
200    Index    18l    1376c    http://192.168.56.101:81/vendor/s9e/
200    Index    16l    976c     http://192.168.56.101:81/vendor/ocramius/
200    Index    16l    966c     http://192.168.56.101:81/vendor/carlos-mg89/
200    Index    17l    1194c    http://192.168.56.101:81/vendor/zendframework/
200    Href     293l   12452c   http://192.168.56.101:81/docs/auth_api.html
200    Href     281l   15128c   http://192.168.56.101:81/docs/LICENSE.txt
200    Href     80l    2215c    http://192.168.56.101:81/docs/lighttpd.sample.conf
200    Href     102l   5073c    http://192.168.56.101:81/docs/sphinx.sample.conf
200    Href     103l   2627c    http://192.168.56.101:81/docs/nginx.sample.conf
200    Href     96l    1914c    http://192.168.56.101:81/docs/sphinx_exceptions.txt
200    Href     123l   4479c    http://192.168.56.101:81/docs/vagrant.md
200    Href     110l   4922c    http://192.168.56.101:81/docs/CREDITS.txt
200    Href     530l   38996c   http://192.168.56.101:81/docs/INSTALL.html
200    Href     2574l  113773c  http://192.168.56.101:81/docs/coding-guidelines.html
200    Href     17l    1140c    http://192.168.56.101:81/docs/assets/
200    Href     54l    4119c    http://192.168.56.101:81/docs/codespaces.md
200    Href     38l    766c     http://192.168.56.101:81/docs/install-config.sample.yml
200    Href     373l   19882c   http://192.168.56.101:81/docs/README.html
200    Href     345l   5286c    http://192.168.56.101:81/docs/assets/css/stylesheet.css
200    Href     3600l  97947c   http://192.168.56.101:81/docs/events.md
200    Href     7979l  843508c  http://192.168.56.101:81/docs/CHANGELOG.html
200    Href     1752l  45150c   http://192.168.56.101:81/docs/sphinx_wordforms.txt
200    Href     328l   15351c   http://192.168.56.101:81/docs/FAQ.html
200    Href     3l     57c      http://192.168.56.101:81/docs/update-config.sample.yml
200    Src      0l     242c     http://192.168.56.101:81/icons/script.gif
200    Index    17l    1146c    http://192.168.56.101:81/styles/all/
200    Index    18l    1359c    http://192.168.56.101:81/styles/prosilver/
200    Index    18l    1363c    http://192.168.56.101:81/config/default/
200    Index    18l    1367c    http://192.168.56.101:81/config/installer/
200    Index    18l    1369c    http://192.168.56.101:81/config/production/
200    Index    2l     67c      http://192.168.56.101:81/bin/phpbbcli.php
403    Service  9l     279c     http://192.168.56.101:81/server-status
200    Service  280l   10267c   http://192.168.56.101:81/mcp.php
200    Service  280l   10289c   http://192.168.56.101:81/viewonline.php
200    Service  232l   8068c    http://192.168.56.101:81/posting.php
200    Link     10l    169c     http://192.168.56.101:81/ext/
200    Index    19l    1594c    http://192.168.56.101:81/vendor/ralouphie/getallheaders/
200    Index    0l     0c       http://192.168.56.101:81/vendor/composer/autoload_psr4.php
200    Index    23l    2436c    http://192.168.56.101:81/vendor/composer/package-versions-deprecated/
200    Index    0l     0c       http://192.168.56.101:81/vendor/composer/installed.php
200    Index    19l    1553c    http://192.168.56.101:81/vendor/twig/twig/
200    Index    0l     0c       http://192.168.56.101:81/vendor/composer/autoload_files.php
302    Link     0l     0c       http://192.168.56.101:81/adm/
200    Index    0l     0c       http://192.168.56.101:81/vendor/composer/InstalledVersions.php
200    Index    0l     0c       http://192.168.56.101:81/vendor/composer/autoload_static.php
200    Index    0l     0c       http://192.168.56.101:81/vendor/composer/autoload_real.php
200    Index    21l    1070c    http://192.168.56.101:81/vendor/composer/LICENSE
200    Index    2956l  109596c  http://192.168.56.101:81/vendor/composer/installed.json
200    Index    0l     0c       http://192.168.56.101:81/vendor/composer/autoload_namespaces.php
200    Index    0l     0c       http://192.168.56.101:81/vendor/composer/ClassLoader.php
200    Index    19l    1606c    http://192.168.56.101:81/vendor/marc1706/fast-image-size/
200    Index    0l     0c       http://192.168.56.101:81/vendor/composer/autoload_classmap.php
200    Index    20l    1786c    http://192.168.56.101:81/vendor/google/recaptcha/
200    Index    20l    1781c    http://192.168.56.101:81/vendor/guzzlehttp/psr7/
200    Index    20l    1789c    http://192.168.56.101:81/vendor/guzzlehttp/promises/
200    Index    19l    1588c    http://192.168.56.101:81/vendor/guzzlehttp/guzzle/
200    Index    19l    1568c    http://192.168.56.101:81/vendor/psr/container/
200    Index    18l    1390c    http://192.168.56.101:81/vendor/bantu/ini-get-wrapper/
200    Index    18l    1360c    http://192.168.56.101:81/vendor/psr/log/
200    Index    22l    2231c    http://192.168.56.101:81/vendor/symfony/polyfill-mbstring/
200    Index    47l    7669c    http://192.168.56.101:81/vendor/symfony/dependency-injection/
200    Index    25l    2877c    http://192.168.56.101:81/vendor/symfony/debug/
200    Index    23l    2418c    http://192.168.56.101:81/vendor/symfony/polyfill-intl-idn/
200    Index    20l    1808c    http://192.168.56.101:81/vendor/symfony/polyfill-php72/
200    Index    30l    3888c    http://192.168.56.101:81/vendor/symfony/process/
200    Index    20l    1818c    http://192.168.56.101:81/vendor/symfony/filesystem/
200    Index    23l    2399c    http://192.168.56.101:81/vendor/symfony/finder/
200    Index    36l    5007c    http://192.168.56.101:81/vendor/symfony/console/
200    Index    22l    2249c    http://192.168.56.101:81/vendor/symfony/polyfill-intl-normalizer/
200    Index    18l    1418c    http://192.168.56.101:81/vendor/symfony/proxy-manager-bridge/
200    Index    33l    4600c    http://192.168.56.101:81/vendor/symfony/routing/
200    Index    29l    3653c    http://192.168.56.101:81/vendor/symfony/twig-bridge/
200    Index    26l    2980c    http://192.168.56.101:81/vendor/symfony/yaml/
200    Index    26l    3211c    http://192.168.56.101:81/vendor/symfony/event-dispatcher/
200    Index    32l    4475c    http://192.168.56.101:81/vendor/symfony/config/
200    Index    18l    1370c    http://192.168.56.101:81/vendor/s9e/sweetdom/
200    Index    21l    2019c    http://192.168.56.101:81/vendor/symfony/polyfill-ctype/
200    Index    19l    1593c    http://192.168.56.101:81/vendor/s9e/text-formatter/
200    Index    18l    1382c    http://192.168.56.101:81/vendor/s9e/regexp-builder/
200    Index    26l    3017c    http://192.168.56.101:81/vendor/ocramius/proxy-manager/
200    Index    21l    2004c    http://192.168.56.101:81/vendor/carlos-mg89/oauth/
200    Index    19l    1607c    http://192.168.56.101:81/vendor/zendframework/zend-code/
200    Index    21l    2028c    http://192.168.56.101:81/vendor/zendframework/zend-eventmanager/
200    Index    16l    979c     http://192.168.56.101:81/docs/assets/css/
200    Index    18l    1405c    http://192.168.56.101:81/docs/assets/images/
200    Index    16l    960c     http://192.168.56.101:81/styles/all/imgs/
200    Index    0l     0c       http://192.168.56.101:81/styles/prosilver/theme/
200    Index    17l    1183c    http://192.168.56.101:81/styles/all/template/
200    Index    0l     0c       http://192.168.56.101:81/styles/prosilver/template/
200    Index    32l    920c     http://192.168.56.101:81/styles/prosilver/style.cfg
200    Index    21l    1980c    http://192.168.56.101:81/config/default/routing/
200    Index    1l     68c      http://192.168.56.101:81/config/default/config.yml
200    Index    48l    8033c    http://192.168.56.101:81/config/default/container/
200    Index    17l    1214c    http://192.168.56.101:81/config/installer/routing/
200    Index    33l    5010c    http://192.168.56.101:81/config/installer/container/
200    Index    2l     51c      http://192.168.56.101:81/config/installer/config.yml
200    Index    2l     51c      http://192.168.56.101:81/config/production/config.yml
200    Index    18l    1428c    http://192.168.56.101:81/config/production/container/
200    Index    16l    1081c    http://192.168.56.101:81/vendor/composer/package-versions-deprecated/src/
200    Index    21l    1080c    http://192.168.56.101:81/vendor/ralouphie/getallheaders/LICENSE
200    Index    16l    1010c    http://192.168.56.101:81/config/production/routing/
200    Index    39l    1118c    http://192.168.56.101:81/vendor/composer/package-versions-deprecated/CONTRIBUTING.md
